notarealmovie, fakegenre, fakedirector, fakeactor
Roar,Adventure,Noel Marshall,Tippi Hedren
Rob Roy,Adventure,Michael Caton-Jones,Liam Neeson
Robin and Marian,Adventure,Richard Lester,Robert Shaw
Robin Hood,Action,Ridley Scott,Mark Addy
Robin Hood: Prince of Thieves,Action,Kevin Reynolds,Alan Rickman
RoboCop,Action,José Padilha,Gary Oldman
RoboCop,Action,José Padilha,Gary Oldman
RoboCop 3,Action,Fred Dekker,CCH Pounder
Robot & Frank,Comedy,Jake Schreier,Frank Langella
Robots,Adventure,Chris Wedge,Jim Broadbent
Rock of Ages,Comedy,Adam Shankman,James Martin Kelly
Rock Star,Drama,Stephen Herek,Beth Grant
Rockaway,Action,Jeff Crook,Nicholas Gonzalez
Rocket Singh: Salesman of the Year,Comedy,Shimit Amin,Ranbir Kapoor
RocknRolla,Action,Guy Ritchie,Tom Hardy
Rocky,Drama,John G. Avildsen,Sylvester Stallone
Rocky Balboa,Drama,Sylvester Stallone,Sylvester Stallone
Rodeo Girl,Family,Joel Paul Reisig,Carrie Bradstreet
Roger & Me,Documentary,Michael Moore,Michael Moore
Role Models,Comedy,David Wain,Joe Lo Truglio
Roll Bounce,Comedy,Malcolm D. Lee,Jurnee Smollett-Bell
Rollerball,Action,John McTiernan,LL Cool J
Romance & Cigarettes,Comedy,John Turturro,Kate Winslet
Romantic Schemer,Romance,Valentine,Diane Sorrentino
Romeo + Juliet,Drama,Baz Luhrmann,Leonardo DiCaprio
Romeo Is Bleeding,Action,Peter Medak,Gary Oldman
Romeo Must Die,Action,Andrzej Bartkowiak,Jet Li
Ronin,Action,John Frankenheimer,Robert De Niro
Room,Drama,Lenny Abrahamson,Joan Allen
Rosemary's Baby,Drama,Roman Polanski,John Cassavetes
Rosewater,Biography,Jon Stewart,Numan Acar
Rotor DR1,Family,Chad Kapper,Tom E. Nicholson
Rounders,Crime,John Dahl,Matt Damon
Royal Kill,Action,Babar Ahmed,Lalaine
Rubber,Comedy,Quentin Dupieux,Haley Ramm
Ruby in Paradise,Drama,Victor Nunez,Allison Dean
Rudderless,Comedy,William H. Macy,Billy Crudup
Rugrats Go Wild,Adventure,John Eng,Elizabeth Daily
Rugrats in Paris: The Movie,Adventure,Stig Bergqvist,Elizabeth Daily
Rumble in the Bronx,Action,Stanley Tong,Françoise Yip
Run All Night,Action,Jaume Collet-Serra,Liam Neeson
Run Fatboy Run,Comedy,David Schwimmer,Dylan Moran
Run Hide Die,Horror,Collin Joseph Neal,Julianne Gabert
Run Lola Run,Crime,Tom Tykwer,Moritz Bleibtreu
Runaway Bride,Comedy,Garry Marshall,Julia Roberts
Runner Runner,Crime,Brad Furman,Justin Timberlake
Running Forever,Family,Mike Mayhall,David Raizor
Running Scared,Action,Wayne Kramer,Paul Walker
Running with Scissors,Comedy,Ryan Murphy,Jill Clayburgh
Rush,Action,Ron Howard,Chris Hemsworth
Rush Hour 2,Action,Brett Ratner,Mei Melançon
Rush Hour 3,Action,Brett Ratner,Tzi Ma
Rushmore,Comedy,Wes Anderson,Bill Murray
Rust,Drama,Corbin Bernsen,Corbin Bernsen
S.W.A.T.,Action,Clark Johnson,Jeremy Renner
Sabotage,Action,David Ayer,Mireille Enos
Sabotage,Action,David Ayer,Mireille Enos
Safe,Action,Boaz Yakin,Jason Statham
Safe Haven,Drama,Lasse Hallström,David Lyons
Safe House,Action,Daniel Espinosa,Denzel Washington
Safe Men,Comedy,John Hamburg,Harvey Fierstein
Safety Not Guaranteed,Comedy,Colin Trevorrow,Mary Lynn Rajskub
Sahara,Action,Breck Eisner,Matthew McConaughey
Saint John of Las Vegas,Comedy,Hue Rhodes,Peter Dinklage
Saint Ralph,Comedy,Michael McGowan,Campbell Scott
Saints and Soldiers,Action,Ryan Little,Corbin Allred
Salt,Action,Phillip Noyce,Angelina Jolie Pitt
Salvador,Drama,Oliver Stone,Jim Belushi
Salvation Boulevard,Action,George Ratliff,Jim Gaffigan
Samsara,Documentary,Ron Fricke,Collin Alfredo St. Dic
San Andreas,Action,Brad Peyton,Dwayne Johnson
Sanctuary; Quite a Conundrum,Comedy,Thomas L. Phillips,Julianna Pitt
Sanctum,Adventure,Alister Grierson,Ioan Gruffudd
Sands of Iwo Jima,Action,Allan Dwan,James Brown
Sarah's Key,Drama,Gilles Paquet-Brenner,Kristin Scott Thomas
Sardaar Ji,Romance,Rohit Jugraj,Bhavkhandan Singh Rakhra
Sausage Party,Adventure,Greg Tiernan,James Franco
Savage Grace,Drama,Tom Kalin,Eddie Redmayne
Savages,Crime,Oliver Stone,Demián Bichir
Save the Last Dance,Drama,Thomas Carter,Sean Patrick Thomas
Saved!,Comedy,Brian Dannelly,Macaulay Culkin
Saving Face,Comedy,Alice Wu,Joan Chen
Saving Mr. Banks,Biography,John Lee Hancock,Tom Hanks
Saving Private Perez,Adventure,Beto Gómez,Jaime Camil
Saving Private Ryan,Action,Steven Spielberg,Tom Hanks
Saving Silverman,Comedy,Dennis Dugan,Amanda Detmer
Saw,Horror,James Wan,Michael Emerson
Saw 3D: The Final Chapter,Horror,Kevin Greutert,Costas Mandylor
Saw II,Horror,Darren Lynn Bousman,Emmanuelle Vaugier
Saw III,Horror,Darren Lynn Bousman,Costas Mandylor
Saw IV,Horror,Darren Lynn Bousman,Costas Mandylor
Saw V,Horror,David Hackl,Julie Benz
Saw VI,Horror,Kevin Greutert,Costas Mandylor
Say It Isn't So,Comedy,J.B. Rogers,Eddie Cibrian
Scarface,Crime,Brian De Palma,Al Pacino
Scary Movie 2,Comedy,Keenen Ivory Wayans,Natasha Lyonne
Scary Movie 3,Comedy,David Zucker,Regina Hall
Scary Movie 4,Comedy,David Zucker,Beau Mirchoff
Scary Movie 5,Comedy,Malcolm D. Lee,Marisa Saks
Schindler's List,Biography,Steven Spielberg,Liam Neeson
School Daze,Comedy,Spike Lee,Tisha Campbell-Martin
School for Scoundrels,Comedy,Todd Phillips,Jon Heder
School of Rock,Comedy,Richard Linklater,Miranda Cosgrove
Scooby-Doo,Adventure,Raja Gosnell,Sarah Michelle Gellar
Scooby-Doo 2: Monsters Unleashed,Adventure,Raja Gosnell,Sarah Michelle Gellar
Scoop,Comedy,Woody Allen,Scarlett Johansson
Scott Pilgrim vs. the World,Action,Edgar Wright,Anna Kendrick
Scott Walker: 30 Century Man,Biography,Stephen Kijak,Brian Eno
Scream,Horror,Wes Craven,David Arquette
Scream 2,Horror,Wes Craven,Omar Epps
Scream 3,Horror,Wes Craven,Kelly Rutherford
Scream 4,Horror,Wes Craven,Alison Brie
Screwed,Comedy,Scott Alexander,Sarah Silverman
Scrooged,Comedy,Richard Donner,Bill Murray
Se7en,Crime,David Fincher,Morgan Freeman
Sea of Love,Crime,Harold Becker,Al Pacino
Sea Rex 3D: Journey to a Prehistoric World,Documentary,Ronan Chapalain,Norbert Ferrer
Seabiscuit,Drama,Gary Ross,Jeff Bridges
Secondhand Lions,Comedy,Tim McCanlies,Haley Joel Osment
Secret in Their Eyes,Crime,Billy Ray,Julia Roberts
Secret Window,Mystery,David Koepp,Johnny Depp
Secretariat,Biography,Randall Wallace,Scott Glenn
Secretary,Comedy,Steven Shainberg,Jeremy Davies
See Spot Run,Action,John Whitesell,Leslie Bibb
Seed of Chucky,Comedy,Don Mancini,Jason Flemyng
Seeking a Friend for the End of the World,Adventure,Lorene Scafaria,Steve Carell
Selena,Biography,Gregory Nava,Jon Seda
Self/less,Action,Tarsem Singh,Ryan Reynolds
Selma,Biography,Ava DuVernay,David Oyelowo
Semi-Pro,Comedy,Kent Alterman,Will Ferrell
Sense and Sensibility,Drama,Ang Lee,Alan Rickman
September Dawn,Drama,Christopher Cain,Jon Gries
Serendipity,Comedy,Peter Chelsom,Lilli Lavine
Serenity,Action,Joss Whedon,Adam Baldwin
Serial Mom,Comedy,John Waters,Kathleen Turner
Serving Sara,Comedy,Reginald Hudlin,Matthew Perry
Session 9,Horror,Brad Anderson,Paul Guilfoyle
Set It Off,Action,F. Gary Gray,Vivica A. Fox
Seven Pounds,Drama,Gabriele Muccino,Will Smith
Seven Psychopaths,Comedy,Martin McDonagh,Abbie Cornish
Seven Samurai,Action,Akira Kurosawa,Takashi Shimura
Seven Years in Tibet,Adventure,Jean-Jacques Annaud,Brad Pitt
Seventh Son,Action,Sergey Bodrov,Jeff Bridges
Severance,Comedy,Christopher Smith,Danny Dyer
Sex and the City 2,Comedy,Michael Patrick King,Chris Noth
Sex Drive,Adventure,Sean Anders,Katrina Bowden
Sex Lies and Videotape,Drama,Steven Soderbergh,Peter Gallagher
Sex Tape,Comedy,Jake Kasdan,James Wilcox
Sexy Beast,Crime,Jonathan Glazer,Ray Winstone
Sgt. Bilko,Comedy,Jonathan Lynn,Austin Pendleton
Shade,Crime,Damian Nieman,Glenn Plummer
Shadow Conspiracy,Action,George P. Cosmatos,Sam Waterston
Shadow of the Vampire,Drama,E. Elias Merhige,Eddie Izzard
Shadowlands,Biography,Richard Attenborough,Anthony Hopkins
Shaft,Action,John Singleton,Christian Bale
Shakespeare in Love,Comedy,John Madden,Tom Wilkinson
Shalako,Western,Edward Dmytryk,Brigitte Bardot
Shall We Dance,Comedy,Peter Chelsom,Lisa Ann Walter
Shallow Hal,Comedy,Bobby Farrelly,Jason Alexander
Shame,Drama,Steve McQueen,Michael Fassbender
Shanghai Calling,Comedy,Daniel Hsia,Alan Ruck
Shanghai Noon,Action,Tom Dey,Xander Berkeley
Shanghai Surprise,Adventure,Jim Goddard,Victor Wong
Shaolin Soccer,Action,Stephen Chow,Wei Zhao
Shark Lake,Thriller,Jerry Dugan,Melissa Bolona
Shark Night 3D,Horror,David R. Ellis,Chris Zylka
Shark Tale,Adventure,Bibo Bergeron,Robert De Niro
Sharknado,Horror,Anthony C. Ferrante,Ian Ziering
Sharkskin,Comedy,Dan Perri,Travis Myers
Shattered,Crime,Mike Barker,Gerard Butler
Shattered Glass,Drama,Billy Ray,Hayden Christensen
Shaun of the Dead,Comedy,Edgar Wright,Peter Serafinowicz
She Done Him Wrong,Comedy,Lowell Sherman,Mae West
She Wore a Yellow Ribbon,Western,John Ford,Harry Carey Jr.
Sheena,Adventure,John Guillermin,Tanya Roberts
Sherlock Holmes,Action,Guy Ritchie,Robert Downey Jr.
Sherlock Holmes: A Game of Shadows,Action,Guy Ritchie,Robert Downey Jr.
Sherrybaby,Drama,Laurie Collyer,Brad William Henke
She's All That,Comedy,Robert Iscove,Paul Walker
She's Gotta Have It,Comedy,Spike Lee,S. Epatha Merkerson
She's Out of My League,Comedy,Jim Field Smith,Mike Vogel
She's the Man,Comedy,Andy Fickman,Channing Tatum
She's the One,Comedy,Edward Burns,John Mahoney
Shine,Biography,Scott Hicks,Noah Taylor
Shine a Light,Biography,Martin Scorsese,Mick Jagger
Shinjuku Incident,Action,Tung-Shing Yee,Bingbing Fan
Shipwrecked,Adventure,Nils Gaup,Bjørn Sundquist
Sholem Aleichem: Laughing in the Darkness,Documentary,Joseph Dorman,Rachel Dratch
Shooter,Action,Antoine Fuqua,Tate Donovan
Shooting Fish,Comedy,Stefan Schwartz,Peter McNamara
Shooting the Warwicks,Comedy,Adam Rifkin,Marri Savinar
Shopgirl,Drama,Anand Tucker,Frances Conroy
Short Cut to Nirvana: Kumbh Mela,Documentary,Maurizio Benazzo,The Dalai Lama
Shortbus,Comedy,John Cameron Mitchell,Sook-Yin Lee
Shorts,Comedy,Robert Rodriguez,Jimmy Bennett
Shotgun Stories,Drama,Jeff Nichols,Michael Abbott Jr.
Should've Been Romeo,Comedy,Marc Bennett,Michael Rapaport
Show Boat,Drama,George Sidney,Agnes Moorehead
Show Me,Drama,Cassandra Nicolaou,Katharine Isabelle
Showdown in Little Tokyo,Action,Mark L. Lester,Cary-Hiroyuki Tagawa
Showgirls,Drama,Paul Verhoeven,Bobbie Phillips
Shrek,Adventure,Andrew Adamson,Kathleen Freeman
Shrek 2,Adventure,Andrew Adamson,Rupert Everett
Shrek Forever After,Adventure,Mike Mitchell,Jon Hamm
Shrek the Third,Adventure,Chris Miller,Justin Timberlake
Shutter,Horror,Masayuki Ochiai,James Kyson
Shutter Island,Mystery,Martin Scorsese,Leonardo DiCaprio
Sicario,Action,Denis Villeneuve,Edgar Arreola
Sicko,Documentary,Michael Moore,Michael Moore
Side Effects,Crime,Steven Soderbergh,Channing Tatum
Side Effects,Crime,Steven Soderbergh,Channing Tatum
Sideways,Adventure,Alexander Payne,Virginia Madsen
Signed Sealed Delivered,Comedy,Scott Smith,Eric Mabius
Signs,Drama,M. Night Shyamalan,Rory Culkin
Silent Hill: Revelation 3D,Adventure,Michael J. Bassett,Radha Mitchell
Silent House,Drama,Chris Kentis,Eric Sheffer Stevens
Silent Movie,Comedy,Mel Brooks,Sid Caesar
Silent Running,Drama,Douglas Trumbull,Bruce Dern
Silent Trigger,Action,Russell Mulcahy,Christopher Heyerdahl
Silmido,Action,Woo-Suk Kang,Yu-mi Jeong
Silver Linings Playbook,Comedy,David O. Russell,Jennifer Lawrence
Silver Medallist,Action,Hao Ning,Jack Kao
Silverado,Action,Lawrence Kasdan,Scott Glenn
Simon Birch,Comedy,Mark Steven Johnson,Oliver Platt
Simply Irresistible,Comedy,Mark Tarlov,Sarah Michelle Gellar
Sin City,Crime,Frank Miller,Rosario Dawson
Sin City: A Dame to Kill For,Action,Frank Miller,Joseph Gordon-Levitt
Sinbad: Legend of the Seven Seas,Adventure,Patrick Gilmore,Brad Pitt
Singin' in the Rain,Comedy,Stanley Donen,Rita Moreno
Sinister,Horror,Scott Derrickson,Danielle Kotch
Sinister 2,Horror,Ciarán Foy,Laila Haley
Sisters in Law,Documentary,Florence Ayisi,Vera Ngassa
Six Days Seven Nights,Action,Ivan Reitman,Harrison Ford
Six-String Samurai,Action,Lance Mungia,Jeffrey Falcon
Skin Trade,Action,Ekachai Uekrongtham,Michael Jai White
Sky Captain and the World of Tomorrow,Action,Kerry Conran,Angelina Jolie Pitt
Sky High,Adventure,Mike Mitchell,Michael Angarano
Skyfall,Action,Sam Mendes,Albert Finney
Skyfall,Action,Sam Mendes,Albert Finney
Skyline,Action,Colin Strause,David Zayas
Slacker,Comedy,Richard Linklater,Tommy Pallotta
Slacker Uprising,Documentary,Michael Moore,Michael Moore
Slackers,Comedy,Dewey Nicks,Jaime King
Slam,Drama,Marc Levin,Sonja Sohn
Sleep Dealer,Drama,Alex Rivera,Leonor Varela
Sleep Tight,Drama,Jaume Balagueró,Luis Tosar
Sleeper,Comedy,Woody Allen,Woody Allen
Sleepers,Crime,Barry Levinson,Robert De Niro
Sleepover,Comedy,Joe Nussbaum,Steve Carell
Sliding Doors,Comedy,Peter Howitt,Jeanne Tripplehorn
Sling Blade,Drama,Billy Bob Thornton,Robert Duvall
Slither,Comedy,James Gunn,Dustin Milligan
Slow Burn,Drama,Wayne Beach,Mekhi Phifer
Slow West,Western,John Maclean,Michael Fassbender
Slumdog Millionaire,Drama,Danny Boyle,Anil Kapoor
Slums of Beverly Hills,Comedy,Tamara Jenkins,Natasha Lyonne
Small Apartments,Comedy,Jonas Åkerlund,Noel Gugliemi
Small Soldiers,Action,Joe Dante,Kirsten Dunst
Small Time Crooks,Comedy,Woody Allen,Woody Allen
Smiling Fish & Goat on Fire,Comedy,Kevin Jordan,Derick Martini
Smilla's Sense of Snow,Action,Bille August,Jim Broadbent
Smoke Signals,Comedy,Chris Eyre,Michael Greyeyes
Smokin' Aces,Action,Joe Carnahan,Ryan Reynolds
Snake Eyes,Crime,Brian De Palma,Nicolas Cage
Snakes on a Plane,Action,David R. Ellis,Lin Shaye
Snakes on a Plane,Action,David R. Ellis,Lin Shaye
Snatch,Comedy,Guy Ritchie,Jason Statham
Snatch,Comedy,Guy Ritchie,Jason Statham
Snitch,Action,Ric Roman Waugh,Dwayne Johnson
Snitch,Action,Ric Roman Waugh,Dwayne Johnson
Snow Angels,Drama,David Gordon Green,Michael Angarano
Snow Day,Adventure,Chris Koch,Chris Elliott
Snow Dogs,Adventure,Brian Levant,James Coburn
Snow Falling on Cedars,Drama,Scott Hicks,Rick Yune
Snow Flower and the Secret Fan,Drama,Wayne Wang,Bingbing Li
Snow Queen,Adventure,Vladlen Barbe,Erin Fitzgerald
Snow White and the Huntsman,Action,Rupert Sanders,Chris Hemsworth
Snow White and the Seven Dwarfs,Animation,William Cottrell,Adriana Caselotti
Snow White: A Deadly Summer,Horror,David DeCoteau,Maureen McCormick
Snow White: A Tale of Terror,Fantasy,Michael Cohn,David Conrad
Snowpiercer,Action,Joon-ho Bong,Chris Evans
Solaris,Drama,Andrei Tarkovsky,Donatas Banionis
Soldier,Action,Paul W.S. Anderson,Connie Nielsen
Solitary Man,Comedy,Brian Koppelman,Jenna Fischer
Solitude,Comedy,Livingston Oden,Susan Chambers
Solomon and Sheba,Drama,King Vidor,Gina Lollobrigida
Some Guy Who Kills People,Comedy,Jack Perez,Kevin Corrigan
Some Like It Hot,Comedy,Billy Wilder,Nehemiah Persoff
Someone Like You...,Comedy,Tony Goldwyn,Hugh Jackman
Something Borrowed,Comedy,Luke Greenfield,Ashley Williams
Something Wicked,Drama,Darin Scott,Julian Morris
Something's Gotta Give,Comedy,Nancy Meyers,Keanu Reeves
Somewhere,Comedy,Sofia Coppola,Nathalie Fay
Somewhere in Time,Drama,Jeannot Szwarc,Teresa Wright
Son of God,Biography,Christopher Spencer,Roma Downey
Son of the Mask,Comedy,Lawrence Guterman,Jamie Kennedy
Song One,Drama,Kate Barker-Froyland,Anne Hathaway
Songcatcher,Drama,Maggie Greenwald,Aidan Quinn
Sorcerer,Adventure,William Friedkin,Roy Scheider
Sorority Boys,Comedy,Wallace Wolodarsky,Heather Matarazzo
Sorority Row,Horror,Stewart Hendler,Julian Morris
Soul Food,Comedy,George Tillman Jr.,Vanessa Williams
Soul Kitchen,Comedy,Fatih Akin,Udo Kier
Soul Men,Comedy,Malcolm D. Lee,Bernie Mac
Soul Plane,Comedy,Jessy Terrero,Mo'Nique
Soul Surfer,Biography,Sean McNamara,Dennis Quaid
Soul Survivors,Drama,Stephen Carpenter,Melissa Sagemiller
Sound of My Voice,Drama,Zal Batmanglij,Christopher Denham
Source Code,Mystery,Duncan Jones,Jake Gyllenhaal
South Park: Bigger Longer & Uncut,Animation,Trey Parker,Minnie Driver
Southland Tales,Comedy,Richard Kelly,Janeane Garofalo
Southpaw,Drama,Antoine Fuqua,Jake Gyllenhaal
Space Battleship Yamato,Action,Takashi Yamazaki,Takuya Kimura
Space Chimps,Adventure,Kirk De Micco,Cheryl Hines
Space Cowboys,Action,Clint Eastwood,Clint Eastwood
Space Dogs,Adventure,Inna Evlannikova,Sergey Garmash
Space Jam,Adventure,Joe Pytka,Bill Murray
Spaceballs,Adventure,Mel Brooks,Joan Rivers
Spaced Invaders,Adventure,Patrick Read Johnson,Ariana Richards
Spanglish,Comedy,James L. Brooks,Adam Sandler
Sparkle,Drama,Salim Akil,Omari Hardwick
Sparkler,Comedy,Darren Stein,Frances Bay
Spawn,Action,Mark A.Z. Dippé,Michael Jai White
Special,Comedy,Hal Haberman,Michael Rapaport
Species,Action,Roger Donaldson,Natasha Henstridge
Spectre,Action,Sam Mendes,Christoph Waltz
Speed,Action,Jan de Bont,Keanu Reeves
Speed 2: Cruise Control,Action,Jan de Bont,Jason Patric
Speed Racer,Action,Lana Wachowski,Scott Porter
Speedway Junky,Crime,Nickolas Perry,Patrick Renna
Spellbound,Film-Noir,Alfred Hitchcock,Norman Lloyd
Sphere,Drama,Barry Levinson,Peter Coyote
Sphinx,Adventure,Franklin J. Schaffner,Frank Langella
Spice World,Comedy,Bob Spiers,Jason Flemyng
Spider,Drama,David Cronenberg,Miranda Richardson
Spider-Man,Action,Sam Raimi,J.K. Simmons
Spider-Man 2,Action,Sam Raimi,J.K. Simmons
Spider-Man 3,Action,Sam Raimi,J.K. Simmons
Spider-Man 3,Action,Sam Raimi,J.K. Simmons
Spirit: Stallion of the Cimarron,Adventure,Kelly Asbury,Matt Damon
Spirited Away,Adventure,Hayao Miyazaki,Bunta Sugawara
Splash,Comedy,Ron Howard,Tom Hanks
Splice,Drama,Vincenzo Natali,Sarah Polley
Split Second,Action,Tony Maylam,Michael J. Pollard
Spotlight,Biography,Tom McCarthy,Billy Crudup
Spring Breakers,Crime,Harmony Korine,James Franco
Spun,Comedy,Jonas Åkerlund,Patrick Fugit
Spy Game,Action,Tony Scott,Brad Pitt
Spy Hard,Action,Rick Friedberg,Hulk Hogan
Spy Kids,Action,Robert Rodriguez,Alexa PenaVega
Spy Kids 2: Island of Lost Dreams,Action,Robert Rodriguez,Steve Buscemi
Spy Kids 3-D: Game Over,Action,Robert Rodriguez,Sylvester Stallone
Spy Kids: All the Time in the World in 4D,Action,Robert Rodriguez,Alexa PenaVega
St. Trinian's,Comedy,Oliver Parker,Lily Cole
St. Vincent,Comedy,Theodore Melfi,Bill Murray
Stake Land,Drama,Jim Mickle,Connor Paolo
Stan Helsing,Comedy,Bo Zenga,Steve Howey
Stand by Me,Adventure,Rob Reiner,Marshall Bell
Standard Operating Procedure,Crime,Errol Morris,Jeffrey Frost
Standing Ovation,Musical,Stewart Raffill,Kayla Jackson
Star Trek,Action,J.J. Abrams,Chris Hemsworth
Star Trek Beyond,Action,Justin Lin,Sofia Boutella
Star Trek II: The Wrath of Khan,Action,Nicholas Meyer,Leonard Nimoy
Star Trek III: The Search for Spock,Action,Leonard Nimoy,Leonard Nimoy
Star Trek Into Darkness,Action,J.J. Abrams,Benedict Cumberbatch
Star Trek IV: The Voyage Home,Adventure,Leonard Nimoy,Leonard Nimoy
Star Trek V: The Final Frontier,Action,William Shatner,Leonard Nimoy
Star Trek VI: The Undiscovered Country,Action,Nicholas Meyer,Leonard Nimoy
Star Trek: First Contact,Action,Jonathan Frakes,LeVar Burton
Star Trek: Generations,Action,David Carson,LeVar Burton
Star Trek: Insurrection,Action,Jonathan Frakes,LeVar Burton
Star Trek: Nemesis,Action,Stuart Baird,Tom Hardy
Star Trek: The Motion Picture,Adventure,Robert Wise,Leonard Nimoy
Star Wars: Episode I - The Phantom Menace,Action,George Lucas,Natalie Portman
Star Wars: Episode II - Attack of the Clones,Action,George Lucas,Natalie Portman
Star Wars: Episode III - Revenge of the Sith,Action,George Lucas,Natalie Portman
Star Wars: Episode IV - A New Hope,Action,George Lucas,Harrison Ford
Star Wars: Episode V - The Empire Strikes Back,Action,Irvin Kershner,Harrison Ford
Star Wars: Episode VI - Return of the Jedi,Action,Richard Marquand,Harrison Ford
Star Wars: Episode VII - The Force Awakens,Documentary,Doug Walker,Doug Walker
Stardust,Adventure,Matthew Vaughn,Henry Cavill
Stargate: The Ark of Truth,Action,Robert C. Cooper,Ben Browder
Starship Troopers,Action,Paul Verhoeven,Jake Busey
Starsky & Hutch,Comedy,Todd Phillips,Snoop Dogg
Starsuckers,Documentary,Chris Atkins,Richard Curtis
State Fair,Musical,Walter Lang,Dana Andrews
State of Play,Crime,Kevin Macdonald,Robin Wright
Stay Alive,Horror,William Brent Bell,Adam Goldberg
Stealing Harvard,Comedy,Bruce McCulloch,Martin Starr
Stealing Harvard,Comedy,Bruce McCulloch,Martin Starr
Stealth,Action,Rob Cohen,Sam Shepard
Steamboy,Action,Katsuhiro Ôtomo,William Hootkins
Steel,Action,Kenneth Johnson,Charles Napier
Step Brothers,Comedy,Adam McKay,Will Ferrell
Step Up,Crime,Anne Fletcher,Channing Tatum
Step Up 2: The Streets,Drama,Jon M. Chu,Cassie Ventura
Step Up 3D,Drama,Jon M. Chu,Alyson Stoner
Step Up Revolution,Drama,Scott Speer,Ryan Guzman
Stepmom,Comedy,Chris Columbus,Julia Roberts
Steppin: The Movie,Comedy,Michael Taliferro,Wesley Jonathan
Steve Jobs,Biography,Danny Boyle,Kate Winslet
Stick It,Comedy,Jessica Bendinger,Jeff Bridges
Stiff Upper Lips,Comedy,Gary Sinyor,Sean Pertwee
Stigmata,Horror,Rupert Wainwright,Nia Long
Still Alice,Drama,Richard Glatzer,Kristen Stewart
Stir of Echoes,Horror,David Koepp,Illeana Douglas
Stitches,Comedy,Conor McMahon,Peter McQuinn
Stoker,Drama,Chan-wook Park,Mia Wasikowska
Stolen,Action,Simon West,Nicolas Cage
Stolen Summer,Drama,Pete Jones,Brian Dennehy
Stomp the Yard,Drama,Sylvain White,Chris Brown
Stone,Drama,John Curran,Robert De Niro
Stone Cold,Action,Craig R. Baxley,Brian Bosworth
Stonewall,Drama,Roland Emmerich,Jeremy Irvine
Stop-Loss,Drama,Kimberly Peirce,Joseph Gordon-Levitt
